College ID,College Name,Branch ID,Branch Name,Status,Is State Level,Seat Type,Category,Cutoff Merit No,Score / Percentile,Year,Stage,Category_Group,Seat_Level
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,GVJS,16510.0,91.1038771,2022,II,VJ,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,GNT1S,9228.0,94.9538024,2022,II,NT1,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,GNT2S,9942.0,94.6205981,2022,II,NT2,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,GNT3S,20505.0,88.9823699,2022,II,NT3,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,GOBCS,8735.0,95.2545256,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,LOPENS,8400.0,95.3875689,2022,II,OPEN,Home_University
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,LSCS,14435.0,92.2302228,2022,II,SC,Home_University
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,LSTS,31172.0,83.1650789,2022,II,ST,Home_University
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,LNT1S,21744.0,88.2761636,2022,II,NT1,Home_University
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,LNT2S,17754.0,90.4382847,2022,II,NT2,Home_University
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,LOBCS,9179.0,94.9790794,2022,II,OBC,Home_University
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,PWDOPENS,80636.0,49.0525702,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,DEFOPENS,24544.0,86.8356112,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,TFWS,7435.0,95.9209717,2022,II,TFWS,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,PWDROBC S,93664.0,37.5478565,2022,II,OTHER,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,DEFROBCS,28236.0,84.8614274,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100224610,Information Technology,Government Autonomous,1,State Level,EWS,9683.0,94.7015776,2022,II,EWS,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GOPENS,26610.0,85.6827453,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GSCS,35923.0,80.5336015,2022,II,SC,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GSTS,80097.0,49.556541,2022,II,ST,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GVJS,48372.0,72.8897104,2022,II,VJ,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GNT1S,27089.0,85.4043578,2022,II,NT1,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GNT2S,36467.0,80.2656546,2022,II,NT2,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GNT3S,39928.0,78.1473584,2022,II,NT3,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,GOBCS,30649.0,83.3246679,2022,II,OBC,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,LOPENS,26549.0,85.6913808,2022,II,OPEN,Home_University
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,LSCS,29692.0,84.0382056,2022,II,SC,Home_University
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,LSTS,48168.0,72.8974176,2022,II,ST,Home_University
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,LVJS,40479.0,77.9458986,2022,II,VJ,Home_University
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,LNT2S,28122.0,84.8685155,2022,II,NT2,Home_University
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,LOBCS,25800.0,86.1713847,2022,II,OBC,Home_University
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,PWDOPENS,54377.0,69.1685966,2022,II,OPEN,State
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,Government Autonomous,1,State Level,DEFOPENS,78548.0,51.2359011,2022,II,OPEN,State
