College ID,College Name,Branch ID,Branch Name,Seat Type,Category,Category_Group,Status,Is State Level,score_2022,score_2023,score_2024,delta_22_23,delta_23_24,avg_delta,trend_slope,score_3yr_mean,score_3yr_std,Branch Name_enc,Seat Type_enc,Category_enc,Category_Group_enc,Status_enc
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,GOBCS,OBC,Government Autonomous,1,96.1905225,97.0482604,97.0436452,0.8577379000000036,-0.004615200000003483,0.42656135000000006,-0.8623531000000071,96.76080936666666,0.4938883049203781,16,2,13,4,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,GOPENS,OPEN,Government Autonomous,1,96.4453291,97.3642653,97.3911937,0.9189362000000045,0.02692840000000274,0.47293230000000364,-0.8920078000000018,97.06692936666666,0.5384899751357467,16,2,16,5,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,GSCS,SC,Government Autonomous,1,94.6469248,94.0441452,94.1713006,-0.602779599999991,0.12715539999999237,-0.2378120999999993,0.7299349999999833,94.28745686666666,0.31773419749610043,16,2,18,7,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,GSTS,ST,Government Autonomous,1,77.1458362,82.3107244,80.5896708,5.164888199999993,-1.7210536000000047,1.721917299999994,-6.885941799999998,80.01541046666667,2.629895193245326,16,2,20,8,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,GVJS,VJ,Government Autonomous,1,90.8078665,95.9541871,94.3331807,5.146320599999996,-1.6210063999999988,1.7626570999999984,-6.7673269999999945,93.69841143333333,2.6312265098095375,16,2,22,10,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,LOBCS,OBC,Government Autonomous,1,96.5320687,96.8581856,96.7545639,0.3261169000000024,-0.10362170000000503,0.11124759999999867,-0.4297386000000074,96.71493939999999,0.1666302309504198,16,2,30,4,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,LOPENS,OPEN,Government Autonomous,1,97.3751017,97.1523959,96.9066937,-0.22270579999999995,-0.24570219999999665,-0.2342039999999983,-0.022996399999996697,97.14473043333334,0.23429806476028037,16,2,32,5,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,LSCS,SC,Government Autonomous,1,95.1073753,92.733306,94.8376426,-2.374069300000002,2.1043365999999963,-0.1348663500000029,4.4784058999999985,94.22610796666667,1.299820070673331,16,2,34,7,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,LSTS,ST,Government Autonomous,1,82.424443,80.6210251,84.2430574,-1.8034178999999995,3.6220323000000008,0.9093072000000006,5.4254502,82.4295085,1.8110214631606416,16,2,36,8,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,PWDOPENS,OPEN,Government Autonomous,1,50.9996691,82.4643661,88.6037289,31.464697000000008,6.1393627999999865,18.802029899999997,-25.32533420000002,74.02258803333334,20.173349772797646,16,2,43,5,2
1002,"Government College of Engineering, Amravati",100224210,Computer Science and Engineering,State Level,TFWS,TFWS,Government Autonomous,1,97.3134328,97.3792778,98.1177725,0.06584499999999593,0.738494700000004,0.40216984999999994,0.672649700000008,97.60349436666667,0.44659309200307185,16,2,45,9,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,DEFOPENS,OPEN,Government Autonomous,1,86.8356112,87.6984872,88.553941,0.862876,0.8554537999999923,0.8591648999999961,-0.007422200000007706,87.69601313333334,0.8591675716333844,40,2,1,5,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,EWS,EWS,Government Autonomous,1,94.7015776,95.0827713,93.9032684,0.3811937000000114,-1.1795029000000028,-0.3991545999999957,-1.5606966000000142,94.5625391,0.6019182262889123,40,2,5,0,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GNT1S,NT1,Government Autonomous,1,94.9538024,93.521357,92.5251996,-1.432445400000006,-0.9961574000000013,-1.2143014000000036,0.43628800000000467,93.66678633333333,1.220815366174305,40,2,7,1,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GNT2S,NT2,Government Autonomous,1,94.6205981,95.0744473,93.9913601,0.4538492000000076,-1.0830872000000085,-0.3146190000000004,-1.536936400000016,94.56213516666666,0.5439052368119079,40,2,9,2,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GNT3S,NT3,Government Autonomous,1,88.9823699,93.2108027,94.115178,4.228432800000007,0.9043752999999981,2.5664040500000027,-3.324057500000009,92.10278353333332,2.739928758769458,40,2,11,3,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GOBCS,OBC,Government Autonomous,1,95.2545256,95.6795422,95.8067495,0.4250166000000064,0.12720729999999492,0.27611195000000066,-0.2978093000000115,95.58027243333333,0.2891862269599717,40,2,13,4,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GOPENS,OPEN,Government Autonomous,1,95.3393686,95.9738402,96.0264086,0.6344715999999977,0.052568399999998405,0.34351999999999805,-0.5819031999999993,95.77987246666665,0.38239194758892603,40,2,16,5,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GSCS,SC,Government Autonomous,1,92.5142196,92.4862529,92.4262209,-0.02796670000000745,-0.060031999999992536,-0.04399934999999999,-0.032065299999985086,92.47556446666665,0.04496248164595959,40,2,18,7,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GSTS,ST,Government Autonomous,1,75.4846987,81.8534982,80.0615027,6.368799500000009,-1.7919954999999987,2.288402000000005,-8.160795000000007,79.1332332,3.2843058576010824,40,2,20,8,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,GVJS,VJ,Government Autonomous,1,91.1038771,90.4575998,92.6351162,-0.6462773000000084,2.177516400000002,0.7656195499999967,2.82379370000001,91.39886436666666,1.1183280080946034,40,2,22,10,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,LNT2S,NT2,Government Autonomous,1,90.4382847,95.2175544,93.1131822,4.7792697,-2.1043722000000002,1.33744875,-6.883641900000001,92.92300709999999,2.3953036640120455,40,2,26,2,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,LOBCS,OBC,Government Autonomous,1,94.9790794,95.9541871,95.8198477,0.9751076999999952,-0.13433940000000177,0.42038414999999674,-1.109447099999997,95.58437140000001,0.5284842216623754,40,2,30,4,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,LOPENS,OPEN,Government Autonomous,1,95.3875689,96.2787373,96.1687682,0.891168399999998,-0.10996910000000071,0.39059964999999863,-1.0011374999999987,95.9450248,0.4858920775978023,40,2,32,5,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,LSCS,SC,Government Autonomous,1,92.2302228,91.4895289,92.4273158,-0.7406939000000108,0.9377869000000061,0.09854649999999765,1.6784808000000169,92.04902250000002,0.49445548737269995,40,2,34,7,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,LSTS,ST,Government Autonomous,1,83.1650789,76.2843676,78.1496564,-6.8807113000000015,1.8652888000000019,-2.50771125,8.746000100000003,79.19970096666667,3.55850982750878,40,2,36,8,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,PWDOPENS,OPEN,Government Autonomous,1,49.0525702,70.5106049,69.2652564,21.458034700000006,-1.2453485000000057,10.1063431,-22.70338320000001,62.9428105,12.045405967231707,40,2,43,5,2
1002,"Government College of Engineering, Amravati",100224610,Information Technology,State Level,TFWS,TFWS,Government Autonomous,1,95.9209717,96.4414768,96.7229568,0.5205051000000083,0.28148000000000195,0.4009925500000051,-0.23902510000000632,96.36180176666666,0.40688586650067815,40,2,45,9,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,DEFOPENS,OPEN,Government Autonomous,1,51.2359011,54.0043616,83.032746,2.7684605000000033,29.0283844,15.898422450000002,26.259923899999997,62.757669566666664,17.613209153023384,29,2,1,5,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,EWS,EWS,Government Autonomous,1,80.8718313,84.2884307,82.7820291,3.4165994000000097,-1.5064016000000038,0.955098900000003,-4.9230010000000135,82.64743036666665,1.7122720225715629,29,2,5,0,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,GNT2S,NT2,Government Autonomous,1,80.2656546,79.7807688,85.1704164,-0.4848858000000007,5.389647599999989,2.4523808999999943,5.87453339999999,81.7389466,2.9816132044573456,29,2,9,2,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,GOBCS,OBC,Government Autonomous,1,83.3246679,85.4752553,89.874785,2.1505874000000063,4.399529700000002,3.2750585500000042,2.248942299999996,86.22490273333334,3.338785252401773,29,2,13,4,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,GOPENS,OPEN,Government Autonomous,1,85.6827453,87.2113119,90.3847828,1.5285666000000049,3.173470899999998,2.3510187500000015,1.6449042999999932,87.75961333333333,2.398492236634947,29,2,16,5,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,GSCS,SC,Government Autonomous,1,80.5336015,80.7328826,85.3822102,0.19928109999999322,4.6493276000000066,2.42430435,4.450046500000013,82.21623143333333,2.743627963562562,29,2,18,7,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,GSTS,ST,Government Autonomous,1,49.556541,54.0043616,57.0470967,4.4478206,3.0427350999999945,3.7452778499999972,-1.4050855000000055,53.53599976666667,3.7671777604585004,29,2,20,8,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,GVJS,VJ,Government Autonomous,1,72.8897104,83.4300164,86.2190813,10.540306000000001,2.7890648999999996,6.66468545,-7.751241100000001,80.84626936666668,7.030280484919205,29,2,22,10,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,LOBCS,OBC,Government Autonomous,1,86.1713847,87.0556299,89.8755527,0.8842451999999952,2.8199228000000005,1.8520839999999978,1.9356776000000053,87.70085576666668,1.9345419244146165,29,2,30,4,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,LOPENS,OPEN,Government Autonomous,1,85.6913808,89.1600241,91.295495,3.4686432999999965,2.1354709000000014,2.802057099999999,-1.3331723999999952,88.7156333,2.828362844297719,29,2,32,5,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,LSCS,SC,Government Autonomous,1,84.0382056,85.4752553,82.7086811,1.4370497000000029,-2.7665741999999938,-0.6647622499999954,-4.203623899999997,84.07404733333333,1.3836353108433792,29,2,34,7,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,LSTS,ST,Government Autonomous,1,72.8974176,29.2444305,57.414259,-43.6529871,28.1698285,-7.741579299999998,71.8228156,53.18536903333334,22.131616602743282,29,2,36,8,2
1002,"Government College of Engineering, Amravati",100229310,Electrical Engineering,State Level,LVJS,VJ,Government Autonomous,1,77.9458986,86.3550668,85.2662319,8.409168199999996,-1.088834900000009,3.6601666499999936,-9.498003100000005,83.18906576666666,4.573236470277148,29,2,38,10,2
